digit,arabic_path,hindi_path,mandarin_path,correct_answer,total_time,routine_time,min_time_for_incorrect
0,digits_output/Arabic/0_Arabic_black.png,digits_output/Hindi/0_Hindi_black.png,digits_output/Mandarin/0_Mandarin_black.png,0,20,5,2
1,digits_output/Arabic/1_Arabic_black.png,digits_output/Hindi/1_Hindi_black.png,digits_output/Mandarin/1_Mandarin_black.png,1,20,5,2
2,digits_output/Arabic/2_Arabic_black.png,digits_output/Hindi/2_Hindi_black.png,digits_output/Mandarin/2_Mandarin_black.png,2,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
4,digits_output/Arabic/4_Arabic_black.png,digits_output/Hindi/4_Hindi_black.png,digits_output/Mandarin/4_Mandarin_black.png,4,20,5,2
5,digits_output/Arabic/5_Arabic_black.png,digits_output/Hindi/5_Hindi_black.png,digits_output/Mandarin/5_Mandarin_black.png,5,20,5,2
6,digits_output/Arabic/6_Arabic_black.png,digits_output/Hindi/6_Hindi_black.png,digits_output/Mandarin/6_Mandarin_black.png,6,20,5,2
7,digits_output/Arabic/7_Arabic_black.png,digits_output/Hindi/7_Hindi_black.png,digits_output/Mandarin/7_Mandarin_black.png,7,20,5,2
8,digits_output/Arabic/8_Arabic_black.png,digits_output/Hindi/8_Hindi_black.png,digits_output/Mandarin/8_Mandarin_black.png,8,20,5,2
9,digits_output/Arabic/9_Arabic_black.png,digits_output/Hindi/9_Hindi_black.png,digits_output/Mandarin/9_Mandarin_black.png,9,20,5,2
