digit,arabic_path,hindi_path,mandarin_path,correct_answer,total_time,routine_time,min_time_for_incorrect
1,digits_output/Arabic/1_Arabic_black.png,digits_output/Hindi/1_Hindi_black.png,digits_output/Mandarin/1_Mandarin_black.png,1,20,5,2
1,digits_output/Arabic/1_Arabic_black.png,digits_output/Hindi/1_Hindi_black.png,digits_output/Mandarin/1_Mandarin_black.png,1,20,5,2
1,digits_output/Arabic/1_Arabic_black.png,digits_output/Hindi/1_Hindi_black.png,digits_output/Mandarin/1_Mandarin_black.png,1,20,5,2
1,digits_output/Arabic/1_Arabic_black.png,digits_output/Hindi/1_Hindi_black.png,digits_output/Mandarin/1_Mandarin_black.png,1,20,5,2
1,digits_output/Arabic/1_Arabic_black.png,digits_output/Hindi/1_Hindi_black.png,digits_output/Mandarin/1_Mandarin_black.png,1,20,5,2
1,digits_output/Arabic/1_Arabic_black.png,digits_output/Hindi/1_Hindi_black.png,digits_output/Mandarin/1_Mandarin_black.png,1,20,5,2
1,digits_output/Arabic/1_Arabic_black.png,digits_output/Hindi/1_Hindi_black.png,digits_output/Mandarin/1_Mandarin_black.png,1,20,5,2
1,digits_output/Arabic/1_Arabic_black.png,digits_output/Hindi/1_Hindi_black.png,digits_output/Mandarin/1_Mandarin_black.png,1,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
3,digits_output/Arabic/3_Arabic_black.png,digits_output/Hindi/3_Hindi_black.png,digits_output/Mandarin/3_Mandarin_black.png,3,20,5,2
